TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
17361,17361.01,3127.01,,,,,,,,PC,,11.342,0.006,219.33623300000002,-24.958522,-18.45,0.054000000000000006,-9.49,0.05,2458596.9598,0.0011,3.6067699999999996,0.00022999999999999998,10.951496,,10036.0,,0.08900000000000001,0.003,83.22,0.33,0.92,0.03,0.098,0.012,7.77,0.37,13.46,2.27,,,,,,,0.68,0.2,,,,,,,,,,,308.901,3.0255,5775.3,121.637,4.25352,0.0784445,1.25819,0.0622261,2020-08-10 07:20:18,montalto,,29419,"new CTOI, Montalto et al. (2020)"
160363,160363.01,,,,,,,,,PC,,11.1398,0.008,223.74390099999997,-29.543332,22.487,0.07,-6.861000000000001,0.055999999999999994,2458604.904,0.0083,,,3.178614,0.036764,2923.33,33.86,3.1439999999999997,2.5568,,,,,,,,,8.14,0.047,,,,,,,,,,,,,,,,,,,450.111,7.561,6737.0,129.08100000000002,4.1546,0.0936922,1.6630900000000002,0.0759799,2021-02-11 04:13:20,steuer,,94179,Found with our in-house single transit finder
1042868,1042868.01,,,,,,,,,PC,,5.8706,0.006,154.116687,28.682071,-65.692,0.087,-95.51299999999999,0.068,2458891.665,,,,0.282328,,260.0,,21.791999999999998,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,33.2673,0.0459,5838.0,97.6081,4.08561,0.06791799999999999,1.5375299999999998,0.0606935,2020-11-02 01:25:54,steuer,,36603,Found with our in-house single transit finder; transit finder output attached under 'Files'; close to MD
1449756,1449756.01,2480.01,,,,,,,,PC,,10.8256,0.006,75.17490500000001,-34.815988,6.287999999999999,0.035,-21.633000000000003,0.045,2458414.8544,0.0079,23.29865,,2.274827,,2093.0,,0.266,0.031,85.31,0.93,0.97,0.14,0.057999999999999996,0.10800000000000001,11.84,3.67,12.17,23.22,,,,,,,0.06,0.06,,,,,,,,,,,470.356,5.0525,6421.0,133.96,3.98115,0.08936770000000001,1.922,0.08785169999999999,2020-08-10 07:20:18,montalto,,29333,"new CTOI, Montalto et al. (2020)"
1461133,1461133.01,,,,,,,,,PC,,15.4872,0.08,246.100971,-51.001197,-5.308,0.32899999999999996,-3.325,0.196,2459220.1427,0.0167,,,1.384142,0.002117,1274.03,1.95,4.6,3.98,,,,,,,,,9.05,0.01,,,,,,,,,,,,,,,,,,,4471.42,2085.43,3052.0,122.0,,,,,2021-02-15 04:50:07,steuer,,94383,Found with our in-house single transit finder
1525480,1525480.01,2402.01,,,,,,,,PC,,12.2668,0.006999999999999999,156.527712,-17.262814000000002,-19.542,0.066,-37.036,0.068,2458543.3603,0.0023,5.509869999999999,0.00084,8.693458,,7975.0,,0.136,0.008,87.2,0.69,0.58,0.09,0.083,0.011000000000000001,11.84,0.83,8.75,1.59,,,,,,,1.03,0.36,,,,,,,,,,,345.00300000000004,7.1805,5519.0,127.04799999999999,4.45477,0.0830699,0.9661270000000001,0.0533869,2020-08-10 07:20:18,montalto,,29401,"new CTOI, Montalto et al. (2020)"
2760219,2760219.01,2382.01,,,,,,,,PC,,11.4408,0.006,356.375185,-16.114124,12.369000000000002,0.12,-5.394,0.08800000000000001,2458353.1317,0.0021,4.66259,0.0005099999999999999,5.889779,,5410.0,,0.094,0.006,84.6,0.7,0.9,0.01,0.079,0.004,9.53,1.22,13.14,1.36,,,,,,,0.75,0.32,,,,,,,,,,,434.92,15.7905,5949.0,125.492,4.10968,0.0859059,1.52373,0.0900829,2020-08-10 07:20:18,montalto,,29398,"new CTOI, Montalto et al. (2020)"
3181884,3181884.01,,,,,,,,,PC,,16.83,1.0,246.24135099999998,-50.894596,12.369000000000002,0.12,-5.394,0.08800000000000001,2459212.6444,0.0083,,,4.453103,0.129167,4093.06,118.96,1.6,0.67,,,,,,,,,11.78,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-15 04:50:07,steuer,,94396,Found with our in-house single transit finder
3224605,3224605.01,5552.01,,,,,,,,PC,,11.9901,0.006,82.384951,33.246885999999996,-9.484,0.09,-31.910999999999998,0.064,2459483.011,0.0024,28.64507,0.001598,8.73503,0.531107,8012.9836,489.0478,4.2852,0.1182,,,0.633,0.0929,0.08952,0.0027199999999999998,45.44,4.2986,8.6475,0.5323,,,20.4423,4.2491,591.8196,29.348000000000003,,,0.1851,0.02,,,,,2459475.85,0.0027,,,287.606,4.359,5639.5,114.529,4.54594,0.075829,0.8832110000000001,0.047979900000000006,2022-01-04 02:47:35,mason,,104061,PHT Community. Saturn sized - 3 transits
3892209,3892209.01,,,,,,,,,PC,,11.442,0.008,11.083122999999999,-7.923375999999999,8.46,0.11199999999999999,-13.095,0.054000000000000006,2459123.0409999997,0.005,,,2.500069,0.23888800000000002,2300.0,220.0,3.408,0.648,,,,,,,,,5.931,0.27699999999999997,,,,,,,,,,,,,,,,,,,314.156,4.757,5909.0,131.94299999999998,4.35924,0.07890989999999999,1.13268,0.0572864,2020-11-26 04:54:55,steuer,,52129,Found with our in-house single transit finder; transit finder output attached under 'Files'
