TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
231663901,101.01,,5,5,5,5,5,5,5,90.1,218.0,0,0,3,KP,KP,12.4069,0.006,,1,spoc,21:14:56.88,-55:52:18.71,12.640999999999998,0.044000000000000004,-16.011,0.040999999999999995,2459036.904104,0.0003926639,1.43036914033977,9.228199000000001e-07,1.64387283171534,0.018756187,20.994854999999998,0.2144,19151.2162143199,197.45049,13.2504933448192,0.66068995,1281.2417919653599,1525.9050966799402,109.60649,375.31,4.4110000000000005,5600.0,,4.48851,,0.890774011611938,0.043846699999999995,,,1.05,0.12945399999999999,"1,27",2018-09-05,2021-10-07,2021-10-08 12:04:18,WASP-46 b
149603524,102.01,,5,5,5,5,5,5,5,147.3,170.1,1,2,1,KP,KP,9.7109,0.006,,1,qlp,05:48:33.56,-63:59:17.98,-15.640999999999998,0.037000000000000005,26.046,0.037000000000000005,2459384.943122,0.0013867,4.4119288,1.58e-05,3.8939999999999997,0.08,16.177972,0.00117,14790.0,1.0776700000000001,15.2023,0.6928489999999999,999.8330000000001,1566.0,863.0,175.63099999999997,0.588,6280.0,,4.32092,,1.21,0.05,0.24,0.05,1.28,0.19081199999999998,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",2019-05-07,2021-08-24,2021-09-10 12:05:07,WASP 62 b
336732616,103.01,,5,5,5,5,5,5,5,54.7,136.1,0,0,5,KP,KP,11.5232,0.008,,1,spoc,20:49:49.8,-24:25:43.3,10.425999999999998,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.35931399999998,14.581841,0.196435,1212.0043759999999,1504.858953,59.5,411.211,7.752000000000001,6351.0,,4.22896,,1.4,,,,1.27,0.196969,1,2018-09-05,2020-10-27,2021-08-19 00:00:00,HATS-3 b
231670397,104.01,,5,5,5,5,5,5,5,58.1,123.1,1,0,3,KP,KP,9.8638,0.006,,1,spoc,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2459038.863566,0.0009549599000000001,4.087493453350491,0.00031987652999999997,5.60298351526058,0.075252816,3.8263809999999996,0.051854,3518.0240858237603,47.758137,13.6677982374002,0.6707571,2242.2185973918804,1755.0489633294299,34.222645,316.678,2.9655,6036.0,,3.93359,,2.21867,0.102573,,,1.16,0.166129,"1,27",2018-09-05,2020-09-18,2021-08-19 00:00:00,WASP-73
144065872,105.01,,5,5,5,5,5,5,5,207.7,449.0,1,3,2,KP,KP,9.4995,0.006,,1,qlp,22:29:49.88,-48:00:11.16,91.976,0.052000000000000005,-6.861000000000001,0.069,2459084.58501,0.00011,2.18467,0.0,2.718,0.013999999999999999,12.448485,7.7e-05,11400.0,0.07109539999999999,14.167,0.68399,998.015,1565.0,9.0,137.54399999999998,0.7905,5630.0,,4.3775900000000005,,1.24,0.06,,,1.03,0.127209,"1,28",2018-09-05,2020-11-09,2021-08-19 00:00:00,WASP-95
38846515,106.01,,5,5,5,5,5,5,5,94.5,107.7,1,0,3,KP,KP,10.3157,0.006,,1,qlp,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052000000000000005,2459386.715318,0.00048719999999999997,2.8493824,4.2000000000000004e-06,3.806,0.532,8.425347,0.000295,7730.0,0.272068,16.4149,0.742397,3854.88,2195.0,657.0,364.411,2.7289999999999996,6900.0,,4.438,,1.77,0.08,,,1.44,0.24353400000000003,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-07,2021-08-26,2021-09-10 12:05:07,WASP-100b
92352620,107.01,,5,5,5,5,5,5,5,190.5,237.5,0,1,3,KP,KP,9.6433,0.006,,1,spoc,20:55:07.98,-34:08:08.7,26.375999999999998,0.078,-44.946999999999996,0.059000000000000004,2459039.335846,0.00038635198,3.9502009427870797,1.6002279999999999e-06,4.564364232425509,0.018132706999999998,14.002270000000001,0.064564,12813.762930751001,59.463480000000004,19.7058959371285,0.8632607,1364.08984021221,1549.99569924754,201.10165,211.21099999999998,2.4835,6153.0,,4.18077,,1.7103600502014198,0.074613,0.22,0.1,1.14,0.150731,"1,27",2018-09-05,2021-10-07,2021-10-08 12:04:18,WASP-94 A b
289793076,108.01,,5,5,5,5,5,5,5,44.8,113.2,0,0,4,KP,KP,13.163,0.01,,1,spoc,21:07:50.76,-26:05:48.19,3.4789999999999996,0.063,-10.312999999999999,0.038,2458328.084864,0.0009220000000000001,3.04461565706429,0.00030849306,2.56166296944832,0.099007405,23.639619,0.9078209999999999,21537.5752091273,835.78503,11.9166736700111,0.45625186,315.909421721723,1075.2523346795301,20.395718,421.855,8.339,5523.0,,4.52192,,0.809868,,,,0.95,,"1,28",2018-09-05,2020-10-05,2021-08-19 00:00:00,HATS-13
29344935,109.01,,5,5,5,5,5,5,5,40.6,89.0,0,0,3,KP,KP,13.2366,0.006999999999999999,,1,spoc,20:52:51.71,-25:41:14.55,1.053,0.052000000000000005,-9.881,0.028999999999999998,2458326.127529,0.001296,2.7667639223896097,0.0002702205,2.64339780525339,0.11630573,17.236283,0.546449,15749.856668460801,503.17117,12.499106050131099,0.5309893,505.883053630512,1209.57355268634,17.233342999999998,513.011,9.1275,5346.0,,4.488230000000001,,0.984866,,,,0.93,,"1,28",2018-09-05,2020-10-01,2021-08-19 00:00:00,HATS-14
281459670,110.01,,5,5,5,5,5,5,5,79.9,76.4,0,0,1,KP,KP,11.6714,0.006,,1,spoc,00:22:28.45,-59:56:33.32,-22.309,0.036000000000000004,-4.893,0.034,2458328.040464,0.000446,3.17416567529447,0.00017963556,2.67886803712134,0.06237295599999999,17.156276000000002,0.355732,15677.3247720825,327.5873,14.755898997100502,0.867575,718.965491041497,1320.67744528774,35.681557,342.14,2.912,5943.0,,4.4252400000000005,,1.15706,0.0633669,-0.1,0.1,1.03,0.12909,"1,2,28,29",2018-11-14,2020-11-06,2021-08-19 00:00:00,HATS-30
