#
#   VizieR Astronomical Server vizier.nao.ac.jp
#    Date: 2019-05-19T22:43:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ce1dbd80c70	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/504/981&tab:{J/A+A/504/981/table3}&key:source=J/A+A/504/981/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/504/981/table3
#-order=I
#-out=Name
#-out=n_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=SpT
#-out=Rmag
#-out=Imag
#-out=r
#-out=pmRA
#-out=pmDE
#-out=Mm
#-out=r2
#-out=Mm2
#-out=pmcat
#pmcat=pmcat
#

#RESOURCE=yCat_35040981
#Name: J/A+A/504/981
#Title: Proper motions of cool stars in Upper Sco OB (Bouy+, 2009)
#Table	J_A_A_504_981_table3:
#Name: J/A+A/504/981/table3
#Title: Sample of Upper Scorpius objects with a counterpart in the USNO-B (<I/284>) only or USNO-B and UCAC2 (<I/294>) catalogues
#Column	Name	(a23)	Name	[ucd=meta.id;meta.main]
#Column	n_Name	(A2)	[ab ] Note on Name (G2)	[ucd=meta.note]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SpT	(a5)	MK spectral type	[ucd=src.spType]
#Column	Rmag	(F5.2)	? R magnitude from literature	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F6.3)	? I magnitude from literature	[ucd=phot.mag;em.opt.I]
#Column	r	(F6.3)	Distance between the object and its closest USNO-B (<I/284>) counterpart	[ucd=meta.id.assoc;pos.angDistance]
#Column	pmRA	(I4)	USNO-B (<I/284>) proper motion along RA, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I4)	USNO-B (<I/284>) proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	Mm	(F4.1)	Membership probability for USNO-B (<I/284>) catalog	[ucd=meta.code.member]
#Column	r2	(F6.3)	? Distance between the object and its closest UCAC2 (<I/294>) counterpart	[ucd=pos.angDistance]
#Column	Mm2	(F4.1)	? Membership probability for UCAC2 (<I/294>) catalog	[ucd=meta.code.member]
#Column	pmcat	(a5)	Details from catalogues with proper motions: USNO-B (Cat. I/184), UCAC2 (I/184), UCAC3 (I/315)	[ucd=meta.ref.url]
Name	n_Name	RAJ2000	DEJ2000	SpT	Rmag	Imag	r	pmRA	pmDE	Mm	r2	Mm2	pmcat
 	 	"h:m:s"	"d:m:s"	 	mag	mag	arcsec	mas/yr	mas/yr	%	arcsec	%	
-----------------------	--	----------	-----------	-----	-----	------	------	----	----	----	------	----	-----
USco-155625.64-224027.0	  	15 56 25.6	-22 40 27.0	M3   	14.60	      	 0.812	  -8	 -18	99.9	 0.236	99.9	pmcat
USco-155629.51-225657.7	  	15 56 29.5	-22 56 57.7	M3   	14.30	      	 0.680	  -4	 -12	99.9	      	    	pmcat
USco-155706.41-220605.7	  	15 57 06.4	-22 06 05.7	M4   	16.20	      	 0.298	 -18	  -6	85.9	      	    	pmcat
USco-155728.49-221905.1	  	15 57 28.4	-22 19 05.1	M5   	16.70	      	 1.085	  -8	 -26	99.9	      	    	pmcat
USco-155729.87-225843.7	  	15 57 29.8	-22 58 43.7	M4   	15.80	      	 0.832	  -6	 -16	99.9	      	    	pmcat
USco-155742.50-222605.3	  	15 57 42.5	-22 26 05.3	M3   	15.70	      	 0.263	 -18	 -22	99.3	      	    	pmcat
USco-155744.89-222351.1	a 	15 57 44.8	-22 23 51.1	M2   	14.30	      	 0.178	   2	  28	 0.1	 0.617	 0.1	pmcat
USco-155746.63-222920.1	  	15 57 46.6	-22 29 20.1	M3   	14.70	      	 1.147	  -8	 -18	99.9	 0.240	99.9	pmcat
USco-155829.83-231007.4	  	15 58 29.8	-23 10 07.4	M3   	15.40	      	 0.578	  -8	 -18	99.9	      	    	pmcat
USco-155848.44-224658.4	a 	15 58 48.4	-22 46 58.4	M0   	14.50	      	 2.645	-194	-124	 0.1	      	    	pmcat
USco-155912.51-223650.3	  	15 59 12.5	-22 36 50.3	M5   	16.40	      	 0.280	   4	 -28	98.1	      	    	pmcat
USco-155918.38-221043.0	  	15 59 18.3	-22 10 43.0	M4   	14.70	      	 1.010	 -14	 -24	99.8	 0.213	99.9	pmcat
USco-155925.92-230508.1	  	15 59 25.9	-23 05 08.1	M6   	17.00	      	 0.247	 -14	 -26	99.7	      	    	pmcat
USco-155930.21-225126.2	a 	15 59 30.2	-22 51 26.2	M4   	17.60	      	 1.917	  50	 -22	 0.1	      	    	pmcat
USco-160007.14-222406.6	  	16 00 07.1	-22 24 06.6	M4   	16.80	      	 1.038	 -22	  -8	65.1	      	    	pmcat
USco-160017.34-221811.1	a 	16 00 17.3	-22 18 11.1	M6   	16.50	      	 1.415	-130	-100	 0.1	      	    	pmcat
USco-160018.46-223011.6	  	16 00 18.4	-22 30 11.6	M3   	14.70	      	 1.009	  -2	 -26	99.8	 0.453	99.9	pmcat
USco-160028.47-220922.6	a 	16 00 28.4	-22 09 22.6	M6   	16.80	      	 0.734	 -44	 -12	 0.1	      	    	pmcat
