#No. Gaia_DR2_Source_ID RA DEC (GBP-GRP) G MG Prot Notes
1 3198972700981234048 04:22:31.5 -07:33:03.2 0.432 8.903 2.802 0.52 Warm
2 5181474045115843072 03:10:47.3 -06:34:29.8 0.446 8.562 2.954 0.87 Warm
3 2516948215250061568 02:20:22.6 +05:52:59.1 0.597 9.183 3.534 0.82 Warm
4 3245408684793798528 04:02:15.4 -05:53:48.2 0.604 9.425 3.513 0.56 Conv.
5 6628071944405827712 22:36:31.1 -21:35:06.0 0.647 8.967 3.835 0.94 Conv.
6 2988966044497883392 05:22:51.9 -11:47:47.8 0.648 10.345 3.688 0.79 Conv.
7 2456987757379368064 01:32:34.4 -12:51:09.7 0.654 9.043 3.865 1.24 Conv.
8 3186195241994234880 04:43:02.6 -07:53:54.6 0.655 9.999 3.766 1.71 Conv.
9 2988096919213031808 05:02:35.2 -12:31:20.4 0.661 10.280 3.869 0.91 Conv.
10 2987729922847457280 05:07:09.2 -13:34:07.7 0.668 10.156 3.896 0.97 Conv.
11 3204844780267292288 04:29:21.6 -02:49:47.1 0.673 9.760 4.020 1.98 Conv.
12 2405544971274027904 23:21:22.3 -17:30:58.5 0.680 9.222 4.024 1.44 Conv.
13 3190206672727634816 04:01:28.8 -11:19:25.7 0.682 9.920 4.059 2.26 Conv.
14 5182223980765557248 03:18:22.8 -04:29:29.0 0.687 9.788 4.054 1.29 Conv.
15 2982998926174605824 05:10:30.1 -16:08:04.1 0.691 10.646 3.970 1.70 Conv.
16 2492898356897645184 02:18:04.2 -03:50:14.4 0.700 9.453 4.126 2.67 Conv.
17 3256702490277205376 04:03:24.9 -00:46:45.2 0.701 9.928 4.180 3.08 Conv.
18 5104477754084350464 03:15:18.8 -17:56:36.4 0.731 9.606 4.279 2.55 Conv.
19 5147686052794315904 02:02:10.9 -16:34:03.4 0.746 9.643 4.410 2.53 Conv.
20 3197608241410937216 04:32:01.8 -08:53:13.7 0.758 10.494 4.476 2.85 Conv.
21 2489889607752127360 02:18:43.9 -04:00:56.0 0.759 10.019 4.390 2.39 Conv.
22 2346216668164370432 00:54:13.5 -22:53:07.8 0.764 9.441 4.452 3.10 Conv.
23 5129126330877050240 02:46:34.6 -18:54:17.5 0.766 9.784 4.520 3.00 Conv.
24 5070969209513725568 02:38:36.5 -25:15:07.6 0.775 9.435 4.462 5.69 Slow
25 2493286445846897664 02:15:46.4 -02:36:32.5 0.821 9.916 4.813 3.84 Conv.
26 3197753548744455168 04:33:55.4 -08:19:27.9 0.827 10.892 4.799 3.96 Conv.
27 2513568007268649728 02:14:47.2 +02:14:20.4 0.865 10.473 5.025 4.30 Conv.
28 5179904664065847040 03:09:03.7 -07:03:55.8 0.873 10.382 4.979 4.78 Conv.
29 5168681021169216896 03:29:30.3 -07:10:13.8 0.895 10.827 5.204 5.32 Conv.
30 3253302456727341696 04:07:34.7 -02:04:33.2 0.901 10.982 5.112 4.83 Conv.
31 3176016268285396864 04:21:35.2 -14:01:29.9 0.902 11.335 5.263 5.11 Conv.
32 2531732317316926336 01:15:31.7 -02:50:46.4 0.903 10.841 5.210 4.87 Conv.
33 2495781619982992640 02:45:01.2 -02:25:46.3 0.921 10.780 5.304 5.00 Conv.
34 2968825259219765120 05:29:28.5 -19:17:58.8 0.924 12.032 5.264 5.22 Conv.
35a 4844691297067063424 04:11:51.9 -37:56:23.03 0.927 10.750 5.280 5.02 Conv.
36 2496200774431287424 02:30:58.8 -03:03:04.9 0.928 10.415 5.328 5.45 Conv.
37 4980826504625538048 00:38:12.2 -43:00:24.8 0.935 10.317 5.401 5.24 Conv.
38 4842810376267950464 03:47:56.3 -41:56:24.9 0.936 10.762 5.383 5.70 Conv.
39 3198734278756825856 04:26:27.1 -07:39:39.7 0.966 11.469 5.445 8.35 Slow
40 5045955865443216640 03:00:46.9 -37:08:01.5 0.976 10.323 5.363 3.90 Rapid
41 3193528950192619648 03:57:04.0 -10:14:00.9 0.994 11.297 5.534 5.54 Conv.
42 3187547465200970368 04:46:12.3 -07:32:24.4 0.997 11.733 5.519 5.43 Conv.
43 3245140743257978496 03:54:01.0 -06:14:14.6 1.017 11.146 5.434 5.66 Conv.
44 3205573756476323328 04:23:54.6 -02:33:43.4 1.029 11.604 5.634 6.05 Conv.
45 3185678437170300800 04:34:42.8 -08:57:18.5 1.052 11.899 5.796 0.55 Rapid
46 5103353606523787008 03:18:03.8 -19:44:14.2 1.058 10.473 5.227 1.26 Rapid
47 3187477818011309568 04:47:58.2 -07:49:25.2 1.059 11.994 5.818 7.02 Conv.
48 3009905594911137664 05:26:30.0 -12:01:21.1 1.073 12.576 5.905 6.50 Conv.
49 5083255496041631616 03:57:35.1 -24:28:42.2 1.077 11.131 5.885 12.22 Slow
50 3243665031151732864 03:48:38.3 -06:41:52.6 1.082 11.460 5.953 6.84 Conv.
51 3192643431015406464 04:21:53.2 -08:43:16.1 1.088 11.752 5.873 6.84 Conv.
52 5029398079322118912 01:13:42.4 -31:11:39.6 1.088 10.804 5.959 6.64 Conv.
53 2596395760081700608 22:39:53.5 -16:36:23.3 1.097 11.508 5.994 6.97 Conv.
54 2979827384884386176 04:58:02.5 -17:10:27.7 1.113 12.317 6.033 6.34 Conv.
55 3196687812738993152 04:06:00.2 -06:53:50.0 1.128 11.842 6.073 7.02 Conv.
56 2491594263092190464 02:10:22.3 -03:50:56.7 1.136 11.533 6.153 2.26 Rapid
57 2402197409339616768 22:39:01.4 -18:52:55.7 1.142 11.219 6.155 7.80 Conv.
58 3013355999838366336 05:25:14.6 -10:25:49.4 1.159 12.806 6.185 7.11 Conv.
59 5096891158212909312 04:12:46.0 -16:19:29.1 1.181 11.994 6.187 3.68 Rapid
60 4871041608622321664 04:28:28.9 -33:53:45.1 1.193 11.630 6.037 6.50 Rapid
61 7324465427953664 03:05:14.1 +06:08:53.5 1.197 12.043 6.247 4.40 Rapid
62 5097262136011410944 03:58:54.7 -17:05:53.2 1.199 11.649 6.311 7.58 Conv.
63 2418664520110763520 23:49:55.1 -15:43:42.0 1.213 11.607 6.396 2.94 Rapid
64 5179037454333642240 02:39:10.9 -05:32:22.5 1.215 11.765 6.373 6.42 Rapid
65 2484875735945832704 01:24:24.7 -03:16:39.0 1.222 11.791 6.398 8.40 Conv.
66 2393862836322877952 23:40:37.5 -18:11:37.9 1.239 11.485 6.472 7.70 Conv.
67 2594993646533642496 22:31:13.9 -17:04:52.4 1.242 11.934 6.451 6.10 Rapid
68 3199896668704440064 04:38:55.5 -06:40:25.0 1.242 12.458 6.305 4.28 Rapid
69 5114686272872474880 03:47:25.8 -12:32:30.9 1.247 12.634 6.550 9.00 Conv.
70 2433715455609798784 23:36:52.1 -11:25:01.7 1.249 11.737 6.442 6.30 Rapid
71 5106733402188456320 03:24:25.2 -15:50:05.4 1.278 11.517 6.197 0.62 Rapid
72 2390974419276875776 23:48:32.4 -18:32:57.4 1.283 11.583 6.618 6.50 Rapid
73 3172630287868034944 04:26:48.2 -15:25:47.4 1.307 12.334 6.599 5.85 LM
74 5161117923061794688 02:59:52.0 -09:47:35.8 1.308 12.063 6.639 5.45 LM
75 5155187986271622912 03:20:33.3 -14:16:58.4 1.320 12.307 6.687 1.93 LM
76 5129876953722430208 02:29:28.5 -20:12:16.8 1.334 11.695 6.739 8.00 LM
77 2339984636258635136 23:56:53.7 -23:17:24.6 1.349 11.475 6.765 8.35 LM
78 3195826963854173056 04:06:29.4 -07:35:32.2 1.366 12.987 6.797 10.73 Slow
79 2349094158814399104 00:47:18.0 -22:45:08.1 1.366 10.929 6.051 1.30 LM
80 3247412647814482816 03:32:30.9 -06:13:09.1 1.382 12.327 6.898 6.66 LM
81 4975223840046231424 00:47:38.5 -47:41:45.8 1.420 11.514 6.985 5.80 LM
82 3191365111308746880 04:24:30.4 -10:41:02.4 1.423 12.901 6.944 7.02 LM
83 3197607794734344320 04:31:51.6 -08:54:03.5 1.439 13.133 7.059 8.02 LM
84 3171136944919260928 04:36:36.1 -17:47:23.7 1.439 12.879 6.940 7.85 LM
85 3206907086126334464 05:13:25.5 -08:19:52.2 1.465 13.320 7.086 6.66 LM
86 3177883999240571904 04:35:35.3 -12:47:47.6 1.480 12.828 6.356 4.00 LM
87 2488721720245150336 02:26:53.3 -05:17:45.2 1.498 12.485 7.198 5.20 LM
88 5159567164990031360 03:04:46.0 -12:16:57.9 1.560 12.613 7.098 0.45 LM
89 5081912751826042624 03:47:01.6 -26:16:11.2 1.577 12.968 7.389 4.50 LM
90 5118895478259982336 02:26:07.0 -24:54:49.0 1.579 11.728 6.658 5.61 LM
91 5117016378528360448 02:17:14.6 -27:16:41.9 1.591 12.551 7.451 5.92 LM
92 5149427640557882368 02:02:58.3 -13:37:46.8 1.594 11.982 7.442 11.96 Slow
93 4832163770817481856 03:58:17.4 -46:34:13.0 1.630 12.992 7.559 7.80 LM
94 2531488844210764544 01:08:57.0 -03:01:32.0 1.661 13.074 7.612 2.26 LM
95 2480756793589426944 01:33:49.3 -04:28:41.7 1.670 13.216 7.682 6.50 LM
96 2355466790769878400 00:55:21.5 -21:24:03.7 1.689 12.341 7.578 6.84 LM
97 5114516020369038848 03:51:15.9 -12:23:46.4 1.732 13.375 7.484 0.68 LM
98 5068272932125221504 02:26:04.6 -29:23:48.9 1.768 12.815 8.000 7.80 LM
99 5094664333632217088 04:02:18.0 -18:42:45.4 1.771 12.631 7.134 2.62 LM
100 5121805541941481472 01:57:17.2 -25:13:49.6 1.784 12.793 7.931 5.45 LM
101 4984094970441940864 01:21:49.7 -42:01:22.3 1.852 12.731 8.099 5.45 LM
#Note—Columns: # is the row number sorted by (GBP - GRP); R.A., decl., (GBP - GRP) G, and MG = G -
#5 log10(100/π) are from Gaia DR2; Prot is measured from TESS FFI data (days). The notes indicate if a star
#is converged on the slow sequence (“Conv.”), slower than the converged sequence (“Slow”), more rapid than the
#converged sequence (“Rapid”), has a lower mass (“LM”) than the converged sequence limit, or is too warm to
#efficiently spin down (“Warm”). notes on particular stars. Six stars appear to rotate more slowly than the bulk of
