#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-03-09T02:18:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e65a75b0d44	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/633/A44&tab:{J/A+A/633/A44/tablea1}&key:source=J/A+A/633/A44/sources&HTTPPRM:&
#-source=J/A+A/633/A44/tablea1
#-order=I
#-out=Name
#-out=HIP
#-out=SpType
#-out=B-V
#-out=Mass
#-out=r_Mass
#-out=Age
#-out=e_Age
#

#RESOURCE=yCat_36330044
#Name: J/A+A/633/A44
#Title: HARPS Young Nearby Stars - YNS (Grandjean+, 2020)
#Table	J_A_A_633_A44_tablea1:
#Name: J/A+A/633/A44/tablea1
#Title: Stellar characteristics of the survey
#Column	Name	(a10)	Name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	SpType	(A5)	Spectral type	[ucd=src.spType]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Mass	(F6.3)	? Stellar mass found in literature	[ucd=phys.mass]
#Column	r_Mass	(A19)	Bibcode of mass reference	[ucd=meta.ref]
#Column	Age	(I4)	? Age found in literature [NULL integer written as an empty string]	[ucd=time.age]
#Column	e_Age	(I4)	? Age negative error [NULL integer written as an empty string]	[ucd=stat.error;time.age]
Name	HIP	SpType	B-V	Mass	r_Mass	Age	e_Age
 	 	 	mag	Msun	 	Myr	Myr
----------	------	-----	------	------	-------------------	----	----
HD105     	   490	G0V  	 0.600	 1.100	2017A&A...603A...3V	  45	  10
HD984     	  1134	F7V  	 0.500	 1.200	2017A&A...603A...3V	  42	   7
HD987     	  1113	G8V  	 0.756	 0.980	2013A&A...559A..83L	  30	  15
HD1466    	  1481	F8V  	 0.540	 1.200	2017A&A...603A...3V	  45	  10
HD3221    	  2729	K4V  	 1.226	 0.900	2010A&A...520A..15M	  45	  10
HD6569    	  5191	K1V  	 0.830	 0.800	2017A&A...603A...3V	 149	  49
HD7661    	  5938	K0V  	 0.770	      	                   	 300	  50
HD10008   	  7576	K0V  	 0.803	 0.800	2017A&A...603A...3V	 250	  50
HD16765   	 12530	F71V 	 0.520	      	                   	    	
HD17925   	 13402	K1V  	 0.860	 0.900	2017A&A...603A...3V	 150	  80
HD18599   	 13754	K2V  	 0.880	      	                   	    	
HD19668   	 14684	K0V  	 0.780	 0.900	2017A&A...603A...3V	 149	  49
HD24916   	 18512	K4V  	 1.152	 0.700	2009A&A...508..677A	    	
HD25457   	 18859	F6V  	 0.500	 1.200	2017A&A...603A...3V	 149	  49
HD26923   	 19859	G0IV 	 0.560	 1.070	2009A&A...508..677A	    	
HD29391   	 21547	F0IV 	 0.277	 1.750	2011ApJ...743..158S	  37	   9
HD30447   	 22226	F3V  	 0.390	 1.400	2017A&A...603A...3V	  42	   7
HD35650   	 25283	K6V  	 1.311	 0.700	2010A&A...520A..15M	    	
HD37572   	 26373	K0V  	 1.094	 0.900	2013A&A...559A..83L	 149	  49
HD39060   	 27321	A6V  	 0.170	 1.640	2013A&A...559A..83L	  30	
HD41593   	 28954	K0V  	 0.825	 1.010	2009A&A...508..677A	 329	  93
HD43989   	 30030	G0V  	 0.570	 1.100	2017A&A...603A...3V	  45	  10
