#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-03-09T02:18:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e65a7801780	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/633/A44&tab:{J/A+A/633/A44/tablea2}&key:source=J/A+A/633/A44/sources&HTTPPRM:&
#-source=J/A+A/633/A44/tablea2
#-order=I
#-out=Name
#-out=HIP
#-out=SpType
#-out=TBL
#-out=Nsp
#-out=RVAmp
#-out=RVrms
#-out=e_RV
#-out=BVS
#-out=BVSrms
#

#RESOURCE=yCat_36330044
#Name: J/A+A/633/A44
#Title: HARPS Young Nearby Stars - YNS (Grandjean+, 2020)
#Table	J_A_A_633_A44_tablea2:
#Name: J/A+A/633/A44/tablea2
#Title: Results of the survey
#Column	Name	(a10)	Name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	SpType	(A5)	Spectral type	[ucd=src.spType]
#Column	TBL	(I4)	Time baseline	[ucd=time.epoch]
#Column	Nsp	(I4)	Total number of computed spectra	[ucd=meta.number]
#Column	RVAmp	(F7.1)	Radial velocity amplitude	[ucd=src.var.amplitude]
#Column	RVrms	(F6.1)	Radial velocity rms	[ucd=stat.error]
#Column	e_RV	(F6.1)	Radial velocity mean uncertainty	[ucd=stat.error]
#Column	BVS	(F8.1)	? Bisector velocity span	[ucd=phys.veloc]
#Column	BVSrms	(F5.1)	? Bisector velocity span rms	[ucd=stat.error]
Name	HIP	SpType	TBL	Nsp	RVAmp	RVrms	e_RV	BVS	BVSrms
 	 	 	d	 	m/s	m/s	m/s	m/s	m/s
----------	------	-----	----	----	-------	------	------	--------	-----
HD105     	   490	G0V  	4606	  36	  236.8	  61.1	   4.2	   310.7	  9.8
HD984     	  1134	F7V  	 867	  21	  301.9	  84.6	  16.4	   571.8	 38.2
HD987     	  1113	G8V  	2621	  19	  502.6	 116.8	   2.5	   393.6	  6.4
HD1466    	  1481	F8V  	4400	  19	  135.8	  39.6	   7.4	   189.8	 17.6
HD3221    	  2729	K4V  	4014	   5	 4793.4	1794.3	  68.6	  3115.1	172.5
HD6569    	  5191	K1V  	   8	   4	   24.0	  11.4	   1.5	    17.8	  3.8
HD7661    	  5938	K0V  	1525	  29	   96.0	  28.1	   1.2	    50.5	  3.3
HD10008   	  7576	K0V  	4021	  17	   20.5	   6.2	   1.0	    17.5	  2.7
HD16765   	 12530	F71V 	 926	  27	  173.0	  47.2	  11.0	   402.9	 27.9
HD17925   	 13402	K1V  	1470	  40	  113.6	  30.5	   1.1	    58.7	  3.1
HD18599   	 13754	K2V  	1055	  16	  115.9	  38.9	   1.5	    54.3	  3.9
HD19668   	 14684	K0V  	4402	  20	  143.1	  33.2	   1.8	    91.9	  4.7
HD24916   	 18512	K4V  	 792	  22	   24.3	   7.4	   0.8	    36.7	  2.2
HD25457   	 18859	F6V  	4089	  78	  187.2	  49.5	   3.3	   345.4	  7.7
HD26923   	 19859	G0IV 	4010	  47	   50.2	  12.7	   1.1	    24.7	  3.1
HD29391   	 21547	F0IV 	3996	  81	 1476.1	 326.2	  28.4	  2564.3	 72.1
HD30447   	 22226	F3V  	 792	  19	  194.1	  47.2	  47.7	  7048.7	106.6
HD35650   	 25283	K6V  	1195	  13	   48.3	  15.3	   1.2	    43.6	  3.0
HD37572   	 26373	K0V  	2826	  34	  347.1	  75.4	   1.7	   223.6	  4.4
