Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
BD+053829,18:37:05.2146,+05:17:31.620,G5,4872.9,10.93,9.83,9.404,476.64,BD+053829_harps_all-data_v1.dat,BD+053829_harps_all-data_v1.csv
BD+053835,18:37:30.2983,+05:12:15.716,G5,4728.8,10.85,9.77,9.429,476.58,BD+053835_harps_all-data_v1.dat,BD+053835_harps_all-data_v1.csv
BD+072351,10:44:37.6008,+06:20:00.851,G5,5270.7,10.72,9.83,9.651,66.58,BD+072351_harps_all-data_v1.dat,BD+072351_harps_all-data_v1.csv
BD+072474,11:43:38.006,+06:33:49.43,G0,5339.0,11.43,10.72,,,BD+072474_harps_all-data_v1.dat,BD+072474_harps_all-data_v1.csv
BD+101802,08:27:35.5566,+10:30:23.565,K5,4228.5,11.43,9.95,9.253,1291.66,BD+101802_harps_all-data_v1.dat,BD+101802_harps_all-data_v1.csv
BD+144559,21:13:35.9900,+14:41:21.784,K5,4869.2,,,9.351,49.42,BD+144559_harps_all-data_v1.dat,BD+144559_harps_all-data_v1.csv
BD+20594,03:34:36.2291,+20:35:57.269,K0,5456.8,11.77,10.85,10.864,180.38,BD+20594_harps_all-data_v1.dat,BD+20594_harps_all-data_v1.csv
BD+23527,03:46:53.7461,+23:35:00.798,G0V,5642.8,11.1,10.6,10.383,134.94,BD+23527_harps_all-data_v1.dat,BD+23527_harps_all-data_v1.csv
BD-013943,20:18:09.3209,-01:04:32.610,F9,5604.0,10.39,9.75,9.572000000000001,149.85,BD-013943_harps_all-data_v1.dat,BD-013943_harps_all-data_v1.csv
BD-053461,12:15:48.4847,-06:24:11.087,,5756.0,11.15,10.42,10.300999999999998,377.67,BD-053461_harps_all-data_v1.dat,BD-053461_harps_all-data_v1.csv
BD-055432,21:00:06.1969,-05:05:40.037,,4875.2,10.93,9.87,9.485,50.03,BD-055432_harps_all-data_v1.dat,BD-055432_harps_all-data_v1.csv
BD-073537,13:04:05.9881,-08:04:27.839,,5637.1,11.16,10.56,10.33,231.19,BD-073537_harps_all-data_v1.dat,BD-073537_harps_all-data_v1.csv
BD-07436B,02:28:37.3244,-07:03:41.286,K5,,,13.4,11.835999999999999,105.72,BD-07436B_harps_all-data_v1.dat,BD-07436B_harps_all-data_v1.csv
BD-096003,22:33:28.4131,-09:01:21.977,,4860.0,11.915,10.872,10.595999999999998,310.13,BD-096003_harps_all-data_v1.dat,BD-096003_harps_all-data_v1.csv
BD-114672,18:33:28.8322,-11:38:09.721,K7V,,11.21,9.99,9.485,27.19,BD-114672_harps_all-data_v1.dat,BD-114672_harps_all-data_v1.csv
BD-122361,08:09:47.8147,-12:54:14.004,,4839.0,11.44,10.44,10.201,879.58,BD-122361_harps_all-data_v1.dat,BD-122361_harps_all-data_v1.csv
BD-122371,08:10:15.1831,-12:50:41.105,,5014.9,11.64,10.65,10.415,1288.66,BD-122371_harps_all-data_v1.dat,BD-122371_harps_all-data_v1.csv
BD-132130,07:37:09.2333,-13:54:23.954,G5IV-V/K2III,4572.3,11.31,10.04,9.7,948.77,BD-132130_harps_all-data_v1.dat,BD-132130_harps_all-data_v1.csv
BD-136424,23:32:30.8615,-12:15:51.465,M0Ve,4058.7,12.38,10.639000000000001,9.818,27.37,BD-136424_harps_all-data_v1.dat,BD-136424_harps_all-data_v1.csv
BD-156276,22:48:07.5636,-14:29:40.842,?+M4-7,5390.0,11.97,11.19,10.927999999999999,139.22,BD-156276_harps_all-data_v1.dat,BD-156276_harps_all-data_v1.csv
BD-15705,04:02:16.4850,-15:21:29.807,K3/4,4881.6,11.19,10.024,9.753,54.84,BD-15705_harps_all-data_v1.dat,BD-15705_harps_all-data_v1.csv
BD-17751,03:53:54.5221,-16:57:15.361,,5887.0,11.16,10.52,10.514000000000001,164.41,BD-17751_harps_all-data_v1.dat,BD-17751_harps_all-data_v1.csv
BD-184705,17:56:51.9898,-19:00:03.443,,4098.0,11.09,9.62,8.988999999999999,732.28,BD-184705_harps_all-data_v1.dat,BD-184705_harps_all-data_v1.csv
