#   #http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/155/196/table1
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-05-18T09:51:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cdfd5143f99	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/155/196&tab:{J/AJ/155/196/table1}&key:source=J/AJ/155/196/table1&HTTPPRM:&&-ref=VIZ5cdfd5143f99&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/AJ/155/196/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=EPIC&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=Ksmag&-out=(V-Ks)u&-out=E(V-Ks)&-out=Ksmag0&-out=Per1&-out=Per2&-out=Per3&-out=Per4&-out=Disk&-out=SimbadName&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/AJ/155/196/table1
#-source=J/AJ/155/196/table1
#-out=EPIC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=Ksmag
#-out=(V-Ks)u
#-out=E(V-Ks)
#-out=Ksmag0
#-out=Per1
#-out=Per2
#-out=Per3
#-out=Per4
#-out=Disk
#-out=SimbadName
#

#RESOURCE=yCat_51550196
#Name: J/AJ/155/196
#Title: Analysis of K2 LCs for members of USco & {rho} Oph (Rebull+, 2018)
#Table	J_AJ_155_196_table1:
#Name: J/AJ/155/196/table1
#Title: Periods and supporting data for USco and {rho} Oph members with K2 light curves
#Column	EPIC	(I9)	[202499459/210282557] Ecliptic Plane Input Catalog identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[4.57/19.1]? Apparent V band Vega magnitude	[ucd=phot.mag;em.opt.V]
#Column	Ksmag	(F5.2)	[2.24/16.75]? Apparent K_s_ band Vega magnitude	[ucd=phot.mag;em.IR.K]
#Column	(V-Ks)u	(F5.2)	[-0.41/18.3]? The (V-K_s_) color used (1)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	E(V-Ks)	(F5.2)	[0/36.36]? Adopted (V-K_s_) color excess (see Section 2.4)	[ucd=phot.color.excess]
#Column	Ksmag0	(F5.2)	[2.1/16.66]? Dereddened K_s_ band Vega magnitude	[ucd=phot.mag;em.IR.K]
#Column	Per1	(F7.4)	[0.0476/38.3933]? Primary period (taken to be the rotation period, see text)	[ucd=time.period]
#Column	Per2	(F7.4)	[0.0458/23.9255]? Secondary period	[ucd=time.period]
#Column	Per3	(F7.4)	[0.045/12.9722]? Tertiary period	[ucd=time.period]
#Column	Per4	(F7.4)	[0.0452/18.3921]? Quaternary period	[ucd=time.period]
#Column	Disk	(a5)	IR excess (disk) is present? (maybe, yes or no)	[ucd=meta.code]
#Column	SimbadName	(A14)	Simbad column added by the CDS	[ucd=meta.id]
EPIC	RAJ2000	DEJ2000	Vmag	Ksmag	(V-Ks)u	E(V-Ks)	Ksmag0	Per1	Per2	Per3	Per4	Disk	SimbadName
 	"h:m:s"	"d:m:s"	mag	mag	mag	mag	mag	d	d	d	d	 	
---------	-----------	-----------	-----	-----	-----	-----	-----	-------	-------	-------	-------	-----	--------------
204451363	15 54 39.31	-22 17 01.5	     	10.70	 6.07	 0.75	10.60	 2.0621	       	       	       	no   	
205104403	15 55 00.36	-19 22 58.5	 5.96	 5.84	 0.11	 0.71	 5.75	 0.5297	 0.6897	 0.5166	       	no   	
204562176	15 55 02.13	-21 49 43.4	     	 8.64	 3.82	 0.70	 8.55	 4.1103	 2.1071	       	       	no   	
204227785	15 55 02.16	-23 09 49.9	     	10.75	 5.32	 0.49	10.69	 3.4970	       	       	       	no   	
204882444	15 55 05.13	-20 26 07.8	     	 9.74	 5.32	 0.74	 9.65	 0.3829	       	       	       	no   	
203667805	15 55 06.24	-25 21 10.1	     	 8.51	 3.86	 0.70	 8.42	 3.9016	 3.5855	       	       	no   	EPIC 203667805
204189121	15 55 08.52	-23 18 51.0	     	 9.90	 5.28	 0.15	 9.88	 5.2099	       	       	       	no   	
204174563	15 55 17.03	-23 22 16.6	     	 9.33	 5.66	 0.46	 9.27	 0.4997	       	       	       	no   	EPIC 204174563
204175508	15 55 17.58	-23 22 03.7	 8.43	 7.39	 1.04	 0.50	 7.33	 0.0501	 0.0571	 0.0544	 0.0573	no   	EPIC 204175508
204604402	15 55 17.95	-21 39 03.9	     	11.12	 6.22	 0.70	11.03	 3.0932	       	       	       	no   	
205049221	15 55 22.39	-19 39 02.9	     	11.01	 6.15	 0.49	10.95	29.7371	 3.1976	       	       	no   	
203553934	15 55 29.81	-25 44 49.9	     	 9.14	 4.79	 0.14	 9.12	 4.7031	 6.2215	       	       	no   	EPIC 203553934
204077926	15 55 30.59	-23 45 21.2	     	12.12	 6.19	 0.41	12.07	 1.0026	       	       	       	no   	EPIC 204077926
204292739	15 55 36.24	-22 54 31.7	     	 8.64	 2.99	 0.70	 8.55	       	       	       	       	no   	
204782414	15 55 39.28	-20 53 07.3	     	10.62	 5.74	 0.51	10.55	 1.0099	       	       	       	no   	
204819202	15 55 41.40	-20 43 15.0	     	 9.45	 5.10	 0.73	 9.36	 1.0285	       	       	       	no   	
203544427	15 55 42.29	-25 46 47.7	     	11.74	 6.78	 0.47	11.68	 1.0897	       	       	       	no   	EPIC 203544427
203866877	15 55 43.14	-24 37 43.5	     	12.17	 7.13	 0.58	12.10	 1.4063	       	       	       	yes  	
204494201	15 55 44.47	-22 06 42.6	     	10.70	 5.33	 0.62	10.62	 3.1808	       	       	       	no   	
203710077	15 55 48.81	-25 12 24.0	10.50	 8.29	 2.21	 1.04	 8.16	 3.7228	 3.4797	       	       	maybe	EPIC 203710077
203675097	15 55 50.98	-25 19 39.4	     	10.70	 5.47	 0.21	10.67	 2.8655	       	       	       	no   	
204862399	15 55 52.72	-20 31 33.5	     	11.67	 6.73	 0.94	11.55	 0.2951	       	       	       	no   	
203892828	15 55 53.21	-24 31 25.2	     	11.86	 6.02	 0.00	11.86	 0.5550	       	       	       	no   	
203457426	15 55 54.88	-26 04 26.2	     	 9.55	 4.00	 0.70	 9.46	 1.5218	       	       	       	maybe	
204811478	15 55 56.00	-20 45 18.7	     	12.15	 7.84	 4.39	11.58	 1.7005	       	       	       	yes  	EPIC 204811478
204107757	15 56 01.02	-23 38 08.4	     	12.81	 7.47	 0.09	12.80	 1.5054	       	       	       	yes  	EPIC 204107757
203890834	15 56 03.72	-24 31 54.4	     	11.34	 6.55	 0.62	11.26	 0.6164	 0.4481	 0.5146	       	no   	
