#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-10T00:33:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9e7c30bd62	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/531/A92&tab:{J/A+A/531/A92/table1}&key:source=J/A+A/531/A92&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/531/A92/table1
#-order=I
#-out=Seq
#-out=pmRA
#-out=pmDE
#-out=Bmag
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=rmag
#-out=plx
#-out=Dist
#-out=RV
#-out=Vpar
#-out=Vper
#-out=Mass
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35310092
#Name: J/A+A/531/A92
#Title: Deep all-sky census of the Hyades (Roeser+, 2011)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_531_A92_table1:
#Name: J/A+A/531/A92/table1
#Title: Data of 724 Hyades candidates
#Column	Seq	(I3)	[1/724] Running number	[ucd=meta.id;meta.main]
#Column	pmRA	(F7.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	Bmag	(F7.3)	? Johnson B magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? Johnson V magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J magnitude (II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H magnitude (II/246)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks magnitude (II/246)	[ucd=phot.mag;em.IR.K]
#Column	rmag	(F7.3)	? SDSS r' magnitude from CMC14 (I/304)	[ucd=phot.mag;em.opt.R]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax.trig]
#Column	Dist	(F5.2)	Distance from the cluster centre	[ucd=pos.distance;pos.heliocentric]
#Column	RV	(F5.2)	Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	Tangential velocity in direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Vper	(F5.2)	Tangential velocity perpendicular to the direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Mass	(F6.2)	mass of the star (from M/L relation) (1)	[ucd=phys.mass]
#Column	M	(A1)	Details from the quoted Catalogs: PPMXL (I/317), CMC14 (I/304), ASCC-2.5 (I/280), 2MASS (II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(F10.6)	Right Ascension J2000.0, epoch 2000.0	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000.0, epoch 2000.0	[ucd=pos.eq.dec;meta.main]
Seq	pmRA	pmDE	Bmag	Vmag	Jmag	Hmag	Ksmag	rmag	plx	Dist	RV	Vpar	Vper	Mass	M	Simbad	RAJ2000	DEJ2000
# 	mas/yr	mas/yr	mag	mag	mag	mag	mag	mag	mas	pc	km/s	km/s	km/s	Msun	 	 	deg	deg
#---	-------	-------	-------	-------	-------	-------	-------	-------	-----	-----	-----	-----	-----	------	-	------	----------	----------
  1	 210.59	  -9.17	       	 12.610	  9.300	  8.674	  8.405	 11.907	23.65	28.32	16.57	42.26	-0.33	  0.59	M	Simbad	028.336420	+23.444762
  2	 211.99	 -13.18	       	       	 11.917	 11.305	 11.029	 16.318	23.87	28.42	16.79	42.17	 1.23	  0.18	M	Simbad	029.172891	+30.476346
  3	 246.54	 -37.75	 15.773	 14.117	 10.081	  9.477	  9.257	 13.536	28.10	28.67	17.02	42.08	 0.13	  0.38	M	Simbad	030.597959	+37.496319
  4	 348.33	  -6.60	       	       	 11.661	 11.033	 10.714	 16.559	39.77	29.31	18.33	41.52	 0.86	  0.13	M	Simbad	030.869529	+21.571356
  5	 258.38	 -13.08	       	       	 11.405	 10.839	 10.528	 15.537	29.97	25.64	19.65	40.92	-0.11	  0.18	M	Simbad	032.806899	+20.972853
  6	 275.08	 -11.75	  8.025	  7.308	  6.117	  5.851	  5.786	       	31.90	26.15	19.66	40.91	 0.36	  1.09	M	Simbad	032.846452	+21.377348
  7	 187.15	 -21.91	       	       	 12.443	 11.879	 11.613	 16.567	21.76	26.59	19.38	41.04	 0.01	  0.15	M	Simbad	033.120560	+28.995777
  8	 250.98	  31.44	       	       	 11.693	 11.099	 10.801	 16.454	29.13	29.14	19.16	41.15	-1.29	  0.17	M	Simbad	033.466903	-03.516534
  9	 191.74	  14.07	       	       	 10.281	  9.729	  9.465	 13.802	22.36	27.57	20.01	40.74	-0.92	  0.43	M	Simbad	033.735784	+03.786084
 10	 199.24	  12.62	       	       	  9.786	  9.210	  8.948	 13.088	23.23	27.73	20.14	40.68	-2.22	  0.50	M	Simbad	034.197564	+01.212597
 11	 198.72	 -36.09	 13.239	 11.748	  8.992	  8.309	  8.145	 11.246	23.41	26.44	19.67	40.90	 0.21	  0.64	M	Simbad	034.727638	+35.218231
 12	 209.51	 -19.24	       	       	 12.573	 11.957	 11.636	 16.759	24.87	23.43	21.27	40.10	-0.36	  0.13	M	Simbad	035.414840	+22.851284
 13	 282.75	 -70.13	       	       	  9.712	  9.103	  8.842	 13.373	34.00	27.47	20.28	40.61	-0.78	  0.38	M	Simbad	036.410167	+37.542758
 14	 209.66	 -23.42	       	       	 11.384	 10.798	 10.545	 15.701	25.12	22.94	21.81	39.80	-0.17	  0.22	M	Simbad	036.448107	+24.589942
 15	 171.35	  12.82	       	       	 11.392	 10.774	 10.527	 15.132	20.56	24.57	22.28	39.54	 2.54	  0.28	M	Simbad	036.541294	+12.453866
 16	 164.54	   4.72	 10.308	  9.489	  8.071	  7.687	  7.558	  9.225	19.73	24.88	22.34	39.51	 1.88	  0.88	M	Simbad	036.640190	+15.373467
 17	 166.54	  -9.91	       	       	 10.321	  9.747	  9.413	 13.815	20.05	24.20	22.47	39.44	-0.65	  0.48	M	Simbad	036.910704	+17.672415
 18	 176.56	 -55.82	       	       	 11.373	 10.797	 10.522	 15.369	21.78	27.34	20.90	40.29	-0.88	  0.26	M	Simbad	038.763451	+41.078280
 19	 191.61	 -51.64	       	       	 11.621	 11.023	 10.728	 15.444	23.85	23.67	22.48	39.43	-0.80	  0.21	M	Simbad	039.738113	+35.201156
