TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Edited (UTC),Date Modified,Comments
231663901,101.01,,4,5,5,5,5,5,4,5,KP,KP,12.4069,0.006,,1,spoc,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2458326.008911,0.000339,1.430401,3.2E-05,1.638765,0.026081,22.436283,0.263814,20452.53125,20452.53125,13.145008,0.144216,1193.379517,1499.044067,0.887868,375.31,4.411,5600,,4.48851,,0.86,,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,WASP-46 b
149603524,102.01,,5,5,5,5,5,5,5,5,KP,KP,9.7109,0.006,,1,spoc,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2458326.078613,9.9E-05,4.411943,5E-06,3.776425,0.008533,15.285608,0.033203,13979.925781,13979.925781,15.397243,0.032379,586.130005,1370,474.380951,175.631,0.588,6280,,4.32092,,1.28,,0.24,0.05,"1,2,3,4,6",2018-09-05 18:34:18,2019-12-17 15:43:39,2020-01-16 02:34:07,WASP 62b
336732616,103.01,,5,5,5,5,5,5,5,5,KP,KP,11.5232,0.008,,1,spoc,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.252563,0.000586,3.547854,0.000149,3.494333,0.049205,11.377524,0.133944,10424.37207,10424.37207,14.581841,0.196435,1212.004395,1504.859009,0.800299,411.211,7.752,6351,,4.22896,,1.4,,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,HATS-3
231670397,104.01,,5,5,5,5,5,5,5,5,KP,KP,9.8638,0.006,,1,spoc,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2458327.673462,0.000842,4.087445,0.000239,5.59014,0.066407,3.900662,0.05299,3586.197021,3586.197021,12.652102,0.221452,1672.217529,1630.958618,0.808662,316.678,2.9655,6036,,3.93359,,2.07,,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,WASP-73
144065872,105.01,,5,5,5,5,5,5,5,5,KP,KP,9.4995,0.006,,1,spoc,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2458326.505981,0.000156,2.184659,2.3E-05,2.869426,0.012752,12.92819,0.050966,11836.691406,11836.691406,12.514586,0.056125,985.883728,1429.144653,0.886027,137.544,0.7905,5630,,4.37759,,1.13,,,,1,2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,WASP-95
38846515,106.01,,5,5,5,5,5,5,5,5,KP,KP,10.3157,0.006,,1,spoc,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2458326.745117,0.000179,2.84938,6E-06,3.776111,0.01379,8.121677,0.02748,7452.432617,7452.432617,9.06138,0.02705,1311.385376,1534.80188,278.009491,364.411,2.729,6900,,4.438,,1,,,,"1,2,3,4,5,6",2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,WASP-100b
92352620,107.01,,5,5,5,5,5,5,5,5,KP,KP,9.6433,0.006,,1,spoc,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2458328.299316,0.000307,3.950054,8.8E-05,4.557506,0.023461,14.207006,0.082188,12999.897461,12999.897461,18.775574,0.097373,1098.209595,1468.219727,0.8602,211.211,2.4835,6153,,4.18077,,1.62,,0.22,0.1,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,WASP-94A (planet host)
289793076,108.01,,5,5,5,5,5,5,5,5,KP,KP,13.163,0.01,,1,spoc,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.084839,0.000922,3.043839,0.000202,2.660993,0.073265,26.534793,0.619302,24143.222656,24143.222656,13.999502,0.329885,400.955292,1141.284058,0.820267,421.855,8.339,5523,,4.52192,,0.89,,,,1,2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,HATS-13
29344935,109.01,,4,5,5,5,5,5,4,,KP,KP,13.2366,0.007,,1,spoc,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127563,0.001296,2.766737,0.000254,2.568721,0.112022,17.172409,0.532229,15691.951172,15691.951172,11.661768,0.527223,,,0.834164,513.011,9.1275,5346,,4.48823,,0.93,,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2019-12-17 10:00:02,HATS-14
281459670,110.01,,5,5,5,5,5,5,5,5,KP,KP,11.6714,0.006,,1,spoc,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.040405,0.000446,3.174305,4.4E-05,2.723339,0.030983,17.075061,0.164396,15603.693359,15603.693359,13.668801,0.12625,662.491028,1293.941772,100.352081,342.14,2.912,5943,,4.42524,,1.06,,-0.1,0.1,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,HATS-30
