C.D.S.  -  SIMBAD4 rel 1.7  -  2019.06.04CEST09:05:31

2018ApJ...863...91F2018ApJ...863...91F
--------------------------------------

2018ApJ...863...91F
10.3847/1538-4357/aac76e

Astrophys. J., 863, 91-91 (2018/August-2)
New and known moving groups and clusters identified in a Gaia comoving catalog.
FAHERTY J.K., BOCHANSKI J.J., GAGNE J., NELSON O., COKER K., SMITHKA I.,
DESIR D. and VASQUEZ C.

-Status: waiting for electronic table
-Files: (abstract)

Number of objects : 289

 # 	 obj tags 	obj count	           identifier           	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
---	----------	---------	--------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
1  	cdx       	        9	NAME THA                        	As*	00 00 00.0 -62 00 00                   	     ~	     ~	     ~	     ~	     ~	~              	 301	   0
2  	d         	        1	BD+78 853                       	*  	00 00 41.2135361241 +79 40 39.894777837	11.07 	10.91 	10.29 	 9.77 	 9.42 	G2V            	   7	   0
3  	dx        	        2	Cl Blanco 1                     	OpC	00 04 07.0 -29 50 00                   	     ~	     ~	 4.5  	     ~	     ~	~              	 220	   0
4  	d         	        1	TYC 4500-616-1                  	*  	00 17 28.2830404875 +79 47 57.952704135	     ~	11.77 	10.81 	     ~	     ~	~              	   4	   0
5  	d         	        1	HD 3454                         	SB*	00 37 56.9908771510 +47 24 27.774425328	     ~	 8.00 	 7.53 	     ~	     ~	F5             	  46	   0
6  	d         	        1	TYC 4500-1478-1                 	*  	00 38 06.1241317372 +79 03 20.633467058	11.74 	11.21 	11.34 	 9.96 	 9.60 	K1V            	   9	   0
7  	d         	        1	BD+78 19                        	SB*	00 39 40.2195009802 +79 05 30.772124831	10.38 	10.29 	 9.57 	 9.11 	 8.89 	~              	   5	   0
8  	d         	        1	BD+78 22                        	Ro*	00 45 23.0332031361 +79 43 49.567327386	     ~	10.55 	 9.91 	     ~	     ~	G3V            	   5	   0
9  	d         	        1	BD+54 144                       	mul	00 45 50.88948 +54 58 40.1992          	     ~	     ~	     ~	     ~	     ~	F8V            	  42	   0
10 	d         	        1	TYC 4036-884-1                  	PM*	01 59 58.4333262450 +62 41 41.655737437	     ~	11.89 	11.06 	     ~	     ~	~              	   4	   0
11 	d         	        1	HD 12423                        	PM*	02 03 40.2972638198 +59 45 37.386678516	     ~	 8.84 	 8.46 	     ~	     ~	F0II           	   7	   0
12 	d         	        1	HD 12468                        	PM*	02 04 39.9311365355 +65 06 12.603538868	 6.480	 6.510	 6.520	     ~	     ~	A0V            	  30	   0
13 	d         	        1	HD 12650                        	*  	02 05 58.5182889347 +60 16 42.117335912	     ~	 9.71 	 8.37 	     ~	     ~	G2II           	  13	   0
14 	d         	        1	TYC 4037-1304-1                 	*  	02 09 24.0592074131 +63 13 31.013641594	     ~	11.43 	10.65 	     ~	     ~	~              	   3	   0
15 	d         	        1	HD 13134                        	*  	02 10 39.7444706677 +60 04 43.473710274	     ~	10.08 	 8.95 	     ~	     ~	G5III          	   5	   0
16 	d         	        1	TYC 3698-501-1                  	*iC	02 13 30.4194949223 +59 27 28.054530143	     ~	10.64 	10.15 	     ~	     ~	A0             	   6	   0
17 	d         	        1	TYC 3698-1347-1                 	*  	02 13 33.3942207590 +59 25 40.671816794	     ~	11.75 	11.08 	     ~	     ~	~              	   3	   0
18 	d         	        1	BD+59 437                       	*iC	02 13 52.1118771746 +59 45 03.447744895	     ~	10.82 	10.32 	     ~	     ~	A0V            	   8	   0
19 	d         	        1	TYC 3698-495-1                  	*  	02 14 03.4070205952 +59 47 56.424478644	     ~	11.90 	11.65 	     ~	     ~	~              	   3	   0
20 	d         	        1	BD+59 438                       	*iC	02 14 06.8937740778 +59 43 59.138592126	     ~	10.37 	 9.88 	     ~	     ~	A0V            	  10	   0
21 	d         	        1	TYC 3698-1731-1                 	*iC	02 15 18.3120864576 +59 48 55.636185565	     ~	10.47 	10.00 	     ~	     ~	A2V            	   7	   0
22 	d         	        1	TYC 3698-1416-1                 	*  	02 16 13.5612461723 +58 40 08.352341178	     ~	12.89 	11.98 	     ~	     ~	~              	   2	   0
23 	d         	        1	TYC 3698-985-1                  	*iC	02 16 38.9258092531 +59 50 13.519929051	     ~	11.89 	11.08 	     ~	     ~	A2V            	   4	   0
24 	d         	        1	HD 13824                        	*  	02 16 42.6880064005 +58 12 42.964063617	     ~	 9.15 	 8.79 	     ~	     ~	F2IV           	   9	   0
25 	d         	        1	HD 14161                        	*iC	02 19 34.9879978161 +59 18 29.657159402	     ~	 8.51 	 8.26 	     ~	     ~	A2IV           	  19	   0
26 	d         	        1	TYC 4046-788-1                  	PM*	02 23 25.4189752355 +61 46 59.144474167	     ~	12.48 	11.50 	     ~	     ~	~              	   4	   0
27 	d         	        1	HD 14552                        	*  	02 23 30.9365427220 +61 46 25.167775844	     ~	 9.14 	 8.73 	     ~	     ~	F5V            	  17	   0
28 	d         	        1	HD 14579                        	*iC	02 23 36.6724617798 +59 55 16.084497810	     ~	 9.10 	 8.67 	     ~	     ~	A3V            	  10	   0
29 	d         	        1	TYC 3698-3123-1                 	*  	02 26 33.4988202125 +58 21 56.945317005	     ~	13.52 	12.77 	     ~	     ~	~              	   2	   0
30 	d         	        1	HD 16218                        	*  	02 38 58.3351764271 +62 35 29.456826850	     ~	 6.630	 6.652	     ~	     ~	B/A            	  20	   0
31 	d         	        1	HD 16230                        	*  	02 39 03.5488907913 +62 34 31.978288004	     ~	 7.71 	 7.61 	     ~	     ~	A2             	  13	   0
32 	d         	        1	TYC 3700-400-1                  	*  	02 42 41.4060150679 +54 09 05.975634074	     ~	11.74 	10.98 	     ~	     ~	~              	   2	   0
33 	d         	        1	TYC 3309-1348-1                 	*  	02 48 52.4884601097 +52 28 31.748649931	     ~	10.39 	 9.92 	     ~	     ~	~              	   3	   0
34 	d         	        1	HD 17817                        	*  	02 53 40.7464674750 +53 48 10.037323729	     ~	 8.29 	 8.06 	     ~	     ~	A2             	   9	   0
35 	d         	        1	HD 18086                        	** 	02 56 52.2844 +58 35 08.936            	     ~	 9.66 	 9.16 	     ~	     ~	F5             	   5	   0
36 	d         	        1	TYC 3709-701-1                  	*  	03 00 53.2925882524 +56 45 37.535784183	     ~	12.39 	11.92 	     ~	     ~	~              	   2	   0
37 	d         	        1	HD 18538                        	*  	03 00 53.5162914087 +52 21 07.302160418	     ~	 6.74 	 6.74 	     ~	     ~	B9V            	  42	   0
38 	d         	        1	HD 18799                        	*  	03 05 03.1324985313 +65 10 57.595393451	     ~	 9.32 	 8.77 	     ~	     ~	F8             	   2	   0
39 	d         	        1	TYC 3709-588-1                  	*  	03 06 31.9297707864 +56 20 10.245033212	     ~	12.42 	11.54 	     ~	     ~	~              	   2	   0
40 	d         	        1	ASAS J030755+6031.4             	Ro*	03 07 55.6504909602 +60 31 25.073363581	     ~	13.03 	11.73 	     ~	     ~	~              	   4	   0
41 	d         	        1	HD 19501                        	*  	03 11 01.3465916757 +60 57 16.605963419	     ~	 8.48 	 8.25 	     ~	     ~	A5III          	  11	   0
42 	d         	        1	BD+21 418                       	PM*	03 11 13.8420528868 +22 24 57.111235881	     ~	 9.14 	 8.51 	 8.61 	     ~	G5             	  42	   0
43 	d         	        3	HD 20420                        	PM*	03 17 49.7588015762 +22 49 55.885212694	     ~	 7.92 	 7.62 	     ~	     ~	A3             	   9	   0
44 	x         	        1	Cl Alessi 13                    	OpC	03 21 42.0 -36 18 00                   	     ~	     ~	     ~	     ~	     ~	~              	  37	   0
45 	d         	        1	HD 20743                        	*  	03 23 18.9013324847 +58 43 45.594719461	     ~	 8.32 	 8.05 	     ~	     ~	F0             	   6	   0
46 	d         	        1	TYC 4053-1110-1                 	*  	03 25 15.0891400795 +62 07 38.376583696	     ~	12.98 	11.63 	     ~	     ~	~              	   3	   0
47 	d         	        1	HD 21003                        	PM*	03 26 20.3678498721 +58 53 13.398044005	     ~	 9.29 	 8.84 	     ~	     ~	F5             	   4	   0
48 	dx        	        2	Cl Melotte 20                   	OpC	03 26 42.0 +48 48 00                   	     ~	     ~	     ~	     ~	     ~	~              	 735	   0
49 	d         	        1	HD 21276                        	PM*	03 29 06.6311532157 +60 33 37.819395077	     ~	10.03 	 9.49 	     ~	     ~	G5             	   3	   0
50 	d         	        3	BD+21 474                       	PM*	03 31 28.3428143362 +21 49 18.887939201	 9.250	 9.280	 8.880	     ~	     ~	F2             	  13	   0
51 	d         	        1	HD 22073                        	*  	03 33 46.4835719621 +08 17 26.076725457	     ~	 9.02 	 8.70 	     ~	     ~	A5             	  10	   0
52 	d         	        2	HD 22637                        	SB*	03 39 13.2020096757 +21 50 35.678919958	     ~	 7.34 	 7.26 	     ~	     ~	A0V            	  26	   0
53 	d         	        2	BD+21 504                       	PM*	03 42 23.9950079757 +21 28 24.566709316	10.44 	10.371	 9.841	 9.38 	 9.213	G0             	  29	   0
54 	d         	        2	BD+21 503                       	*iC	03 42 24.0246087668 +22 25 16.100329296	     ~	10.968	10.345	10.00 	 9.600	~              	  24	   0
55 	d         	        3	HD 23028                        	*iC	03 42 29.8685346502 +20 08 59.967488824	     ~	 8.74 	 8.39 	     ~	     ~	A2             	  13	   0
56 	d         	        2	BD+21 508                       	*iC	03 43 31.1297860946 +22 09 30.160151024	     ~	11.060	10.406	10.33 	 9.605	F8             	  15	   0
57 	d         	        1	MCC 428                         	PM*	03 43 45.2472698195 +16 40 02.169395779	13.476	12.265	10.763	 9.78 	 8.681	M0V            	  69	   0
58 	d         	        1	BD+16 502                       	PM*	03 43 52.5641841489 +16 40 19.305193839	12.614	11.355	 9.900	 8.995	 8.101	K6V            	  59	   0
59 	d         	        2	TYC 1260-498-1                  	PM*	03 44 41.8187338464 +22 27 52.370741022	     ~	11.473	10.757	     ~	 9.954	~              	  15	   0
60 	d         	        2	HD 23289                        	*iC	03 44 51.2353842622 +23 16 08.114175876	     ~	 9.33 	 9.01 	     ~	 8.37 	F3V            	  77	   0
61 	d         	        2	HD 23312                        	*iC	03 44 58.9228316444 +22 01 56.825622585	10.00 	 9.946	 9.449	 9.05 	 8.880	F5             	  29	   0
62 	d         	        1	HD 23376                        	*  	03 44 58.9296070521 +08 19 10.465376075	     ~	 9.85 	 9.36 	     ~	     ~	G5             	  20	   1
63 	d         	        3	BD+19 587                       	*iC	03 45 01.6620207393 +19 33 33.723286325	     ~	 9.912	 9.449	 8.91 	 8.832	F5             	  17	   0
64 	d         	        2	HD 23402                        	*  	03 45 39.8973255712 +22 41 40.060357192	 8.120	 8.010	 7.830	     ~	     ~	A0             	  16	   0
65 	d         	        2	HD 23410                        	PM*	03 45 48.8148023529 +23 08 49.727348449	     ~	 6.925	 6.909	     ~	 6.78 	A0V            	  61	   1
66 	d         	        1	TYC 658-828-1                   	*  	03 45 52.1172693161 +08 32 27.254213696	     ~	12.38 	11.45 	     ~	     ~	~              	   3	   0
67 	d         	        1	V* V1274 Tau                    	RS*	03 45 57.9571546159 +27 33 35.305463557	     ~	12.00 	10.796	10.23 	 9.459	K5             	  11	   0
68 	d         	        2	BD+22 548                       	PM*	03 46 10.0422621913 +23 20 24.046506308	     ~	10.8  	10.18 	     ~	 9.46 	G0             	  51	   0
69 	d         	        3	HIP 17607                       	*iC	03 46 19.3405532136 +20 52 47.225162620	     ~	12.402	11.562	     ~	10.634	~              	  21	   0
