# C.D.S.  -  SIMBAD4 rel 1.7  -  2019.05.30CEST07:00:13
# 
# 2018ApJ...860...43G2018ApJ...860...43G
# --------------------------------------
# 
# 2018ApJ...860...43G
# 10.3847/1538-4357/aac2b8
# 
# Astrophys. J., 860, 43-43 (2018/June-2)
# BANYAN. XII. New members of nearby young associations from Gaia-Tycho data.
# GAGNE J., ROY-LOUBIER O., FAHERTY J.K., DOYON R. and MALO L.
# 
# -Status: waiting for electronic table
# -Files: (abstract)
# 
# Number of objects : 146
# 
  	 obj tags 	obj count	           identifier           	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	bib	not
#---	----------	---------	--------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
1  	acdx      	        7	NAME THA                        	As*	00 00 00.0 -62 00 00                   	     ~	     ~	     ~	     ~	     ~	~              	 301	   0
2  	d         	        1	V* PW And                       	RS*	00 18 20.8896176716 +30 57 22.127515298	     ~	 9.78 	 8.86 	 8.3  	 7.78 	K2V            	  99	   1
3  	d         	        1	HD 236717                       	PM*	01 24 27.1116767808 +57 51 06.160979960	     ~	 9.35 	 8.57 	     ~	     ~	K0IV-V         	   4	   0
4  	dx        	        3	V* EX Cet                       	BY*	01 37 35.4668233260 -06 45 37.531277337	 8.862	 8.459	 7.656	 7.218	 6.817	K0/1V          	  98	   0
5  	c         	        1	HD 10863                        	PM*	01 46 01.0578838260 -27 20 55.792868862	     ~	 6.729	 6.385	     ~	     ~	F2V            	  33	   0
6  	d         	        1	G 133-40                        	PM*	01 47 29.5495762994 +34 13 09.207655084	     ~	13.82 	12.343	11.847	10.3  	~              	   7	   0
7  	d         	        1	CD-30 658                       	PM*	01 54 17.6566041652 -29 23 23.246681823	     ~	11.98 	10.62 	     ~	     ~	~              	   1	   0
8  	d         	        1	BD+49 646                       	PM*	02 22 33.8885644032 +50 33 36.919717602	     ~	10.47 	 9.65 	     ~	     ~	K2V            	   8	   0
9  	d         	        1	HD 15407                        	PM*	02 30 50.6563862358 +55 32 54.261065060	     ~	 7.43 	 6.95 	     ~	     ~	F5V            	  61	   0
