#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-28T04:30:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e587b34af16	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/860/43&tab:{J/ApJ/860/43/table4}&key:source=J/ApJ/860/43/table4&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/860/43/table4
#-order=I
#-out=Set
#-out=Name
#-out=Assoc
#-out=r_SpT
#-out=SpT
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=Dist
#-out=r_RVel
#-out=RVel
#-out=HR1
#-out=NUVmag
#-out=Gmag
#-out=Jmag
#-out=IRex
#-out=r_Known
#-out=Known
#-out=r_Li
#-out=Bin
#-out=rvCat
#-out=Gaia
#Gaia=Gaia
#-out=2M
#2M=2M
#-out=SimbadName
#

#RESOURCE=yCat_18600043
#Name: J/ApJ/860/43
#Title: BANYAN. XII. New members from Gaia-Tycho data (Gagne+, 2018)
#Table	J_ApJ_860_43_table4:
#Name: J/ApJ/860/43/table4
#Title: Candidate members recovered in this work
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Set	(A4)	Subset (1)	[ucd=meta.note]
#Column	Name	(a17)	Star Name	[ucd=meta.id;meta.main]
#Column	Assoc	(a6)	Association short name (2)	[ucd=meta.id.parent]
#Column	r_SpT	(I3)	? Reference for spectral types (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	SpT	(a10)	Spectral Type (3)	[ucd=src.spType]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-114/209] Proper motion in RA; {mu}_{alpha}_\cos{delta}	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-196/165] Proper motion in DE; {mu}_{delta}_	[ucd=pos.pm;pos.eq.dec]
#Column	Dist	(F6.2)	[21.9/243] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	r_RVel	(I3)	? Reference for radial velocities (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	RVel	(F7.3)	[-20/43]? Radial Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	HR1	(F5.2)	[-1/1]? HR1 hardness ratio	[ucd=phot.flux;arith.ratio]
#Column	NUVmag	(F6.3)	[11.4/21.4]? GALEX NUV magnitude	[ucd=phot.mag;em.UV]
#Column	Gmag	(F6.3)	[5.9/12.1] Gaia DR1 (I/337) G-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F5.2)	[5.5/11] 2MASS (II/246) J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	IRex	(F4.1)	[0/10.3]? IR Excess in N{sigma}	[ucd=phot.color.excess;em.IR]
#Column	r_Known	(I3)	? Membership candidacy in a young association references (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Known	(a11)	Known Group	[ucd=meta.id]
#Column	r_Li	(I2)	? Lithium detection reference (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Bin	(A1)	Binary flag (5)	[ucd=meta.code]
#Column	rvCat	(I3)	Display data from Kharchenko+, 2007, III/254 and RAVE DR5 (Kunder+, 2017, III/279) within 1.5" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Gaia	(A4)	Display the Gaia -DR1 (I/337) and -DR2 (I/345) data within 0.5"	[ucd=meta.ref.url]
#Column	2M	(A2)	Display the 2MASS data (II/246) within 3"	[ucd=meta.ref.url]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	Set	Name	Assoc	r_SpT	SpT	RAJ2000	DEJ2000	pmRA	pmDE	Dist	r_RVel	RVel	HR1	NUVmag	Gmag	Jmag	IRex	r_Known	Known	r_Li	Bin	rvCat	Gaia	2M	SimbadName
#deg	deg	 	 	 	 	 	"h:m:s"	"d:m:s"	mas/yr	mas/yr	pc	 	km/s	 	mag	mag	mag	 	 	 	 	 	 	 	 	
#------------	------------	----	-----------------	------	---	----------	------------	------------	-------	-------	------	---	-------	-----	------	------	-----	----	---	-----------	--	-	---	----	--	-----------------------
065.38965833	-25.71948333	NBFM	CD-26 1643       	ABDMG 	  1	F9V       	04 21 33.518	-25 43 10.14	  42.74	 -55.46	 54.84	  2	 23.000	-0.15	13.099	 8.095	 7.19	 0.0	   	           	  	 	  0	Gaia	2M	CD-26 1643
114.26142917	-52.36581667	NBFM	HD 61518         	ABDMG 	  3	F5V       	07 37 02.743	-52 21 56.94	 -31.93	   6.13	 60.95	  4	 31.000	-0.23	      	 7.736	 6.97	 2.7	   	           	  	 	  1	Gaia	2M	HD 61518
245.63600833	 -4.24998333	NBFM	HD 147512        	ABDMG 	  5	G8/K0V    	16 22 32.642	-04 14 59.94	 -78.92	-176.73	 27.03	  5	-19.900	     	13.358	 7.107	 6.06	 1.5	   	           	 5	 	  0	Gaia	2M	HD 147512
352.55817917	+31.70528333	NBFM	HD 221239        	ABDMG 	  6	K2.5V     	23 30 13.963	+31 42 19.02	 191.28	-130.31	 25.11	  4	-18.000	-1.00	15.410	 7.998	 6.66	 0.0	   	           	  	 	  0	Gaia	2M	HD 221239
326.98107917	-52.93100833	NBFM	HD 207043        	BPMG  	  8	G5V       	21 47 55.459	-52 55 51.63	 103.31	 -88.75	 33.25	  7	  0.129	     	13.326	 7.378	 6.41	 3.8	   	           	  	 	  0	Gaia	2M	HD 207043
083.60916250	-60.10405278	NBFM	HD 37402         	CAR   	  9	F6V       	05 34 26.199	-60 06 14.59	  25.76	  32.20	 68.20	  4	 23.700	-0.17	12.987	 8.224	 7.41	 3.0	   	           	10	 	  1	Gaia	2M	HD 37402
130.38469167	-68.42715833	NBFM	S1^*^ 329        	CARN  	 11	K7V(ke)   	08 41 32.326	-68 25 37.77	-113.29	 164.47	 30.45	 12	 10.000	 0.47	18.770	10.289	 8.23	 1.4	   	           	13	 	  0	Gaia	2M	S1* 329
341.68989167	-63.30166667	NBFM	L 106-104        	CARN  	 14	M3        	22 46 45.574	-63 18 06.00	 198.01	-113.86	 26.00	  7	 -4.000	     	      	10.455	 8.29	 2.2	   	           	  	 	  0	Gaia	2M	L 106-104
071.50376250	+76.61048056	NBFM	HD 29329         	COL   	   	F7V       	04 46 00.903	+76 36 37.73	  75.59	-135.35	 32.75	  7	 -9.800	-0.01	      	 6.321	 5.53	 2.6	   	           	  	 	  0	Gaia	2M	HD 29329
085.08646667	-19.66975278	NBFM	AI Lep           	COL   	 11	G2V       	05 40 20.752	-19 40 11.11	  20.02	 -12.05	 72.40	  7	 24.800	 0.00	      	 8.891	 7.84	 1.4	   	           	  	 	  0	Gaia	2M	AI Lep
197.46699167	-54.32896944	NBFM	TYC 8649-1758-1  	LCC   	   	(K2)      	13 09 52.078	-54 19 44.29	 -28.90	 -17.00	126.90	  7	  8.000	     	      	11.004	 9.48	 2.8	   	           	  	 	  1	Gaia	2M	TYC 8649-1758-1
198.41077083	-55.49915556	NBFM	TYC 8653-1049-1  	LCC   	   	(G8)      	13 13 38.585	-55 29 56.96	 -33.44	 -18.85	117.60	  7	 11.000	     	      	10.733	 9.46	 2.0	   	           	  	 	  1	Gaia	2M	TYC 8653-1049-1
077.25054167	-36.46106667	NBFM	TYC 7053-832-1   	OCT   	   	(G6)      	05 09 00.130	-36 27 39.84	  -7.12	  18.36	122.80	  7	 12.000	     	16.840	10.999	 9.83	 2.6	   	           	  	 	  1	Gaia	2M	TYC 7053-832-1
080.06933750	-51.99960833	NBFM	HD 35212         	OCT   	  8	F5V       	05 20 16.641	-51 59 58.59	  -8.36	  21.95	129.90	 12	 11.000	-0.27	      	 9.322	 8.54	 1.5	   	           	  	 	  1	Gaia	2M	HD 35212
084.33533750	-48.58635833	NBFM	HD 275012        	OCT   	 15	G5        	05 37 20.481	-48 35 10.89	 -10.91	  20.60	134.30	 16	  9.000	-0.01	      	11.034	 9.88	 2.1	   	           	  	 	  1	Gaia	2M	HD 275012
084.70542917	-35.49211389	NBFM	CD-35 2433       	OCT   	   	(G2)      	05 38 49.303	-35 29 31.61	 -12.07	  18.61	114.20	  7	 13.000	-0.02	      	 9.919	 9.01	 1.6	   	           	  	 	  1	Gaia	2M	CD-35 2433
091.17639167	-62.12646667	NBFM	HD 42122         	OCT   	   	F7/G0V    	06 04 42.334	-62 07 35.28	 -11.16	  19.38	153.30	  7	  7.000	     	14.213	 9.508	 8.68	 1.9	   	           	  	 	  1	Gaia	2M	HD 42122
