#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-29T05:47:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db7d26d1df0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/558/A53&tab:{J/A+A/558/A53/notes}&key:source=J/A+A/558/A53/notes&HTTPPRM:&
#-source=J/A+A/558/A53/notes
#-order=I
#-out=MWSC
#-out=Name
#-out=flag
#-out=Type
#-out=n_Type
#-out=Note
#

#RESOURCE=yCat_35580053
#Name: J/A+A/558/A53
#Title: Milky Way global survey of star clusters. II. (Kharchenko+, 2013)
#Table	J_A_A_558_A53_notes:
#Name: J/A+A/558/A53/notes
#Title: Notes to MWSC objects
#Column	MWSC	(A4)	[1/3784] MWSC sequential number	[ucd=meta.record]
#Column	Name	(a17)	NGC, IC or other common designation	[ucd=meta.id]
#Column	flag	(A1)	[&:=-] Flag of confirmation/no confirmation (G5)	[ucd=meta.code.error]
#Column	Type	(A1)	[agmnrs] Object type (G1)	[ucd=src.class]
#Column	n_Type	(A1)	[oc] object/candidate	[ucd=meta.note]
#Column	Note	(a52)	Text of note	[ucd=meta.note]
MWSC	Name	flag	Type	n_Type	Note
 	 	 	 	 	
----	-----------------	-	-	-	----------------------------------------------------
0001	Berkeley_58      	=	 	 	
0002	NGC_7801         	=	 	 	
0003	FSR_0459         	=	 	 	
0004	Stock_18         	=	 	 	PMs in center are poor/absent due to crowding.
0005	Berkeley_59      	=	 	 	Is a part of Cep_OB4 association.
0006	Cep_OB4          	=	a	o	Contains cluster Berkeley_59.
0007	Blanco_1         	=	 	 	Center is shifted to 0.0590h,-30.000d.
0008	Berkeley_104     	=	 	 	
0009	IRAS_00013+6817  	=	 	 	Strong and variable reddening; PMs in center are
0009	IRAS_            	 	 	 	poor/absent due to crowding; poor RDP.
0010	PTB_8            	-	 	 	AH:PTB93_8; no signature of a cluster (even
0010	PTB_8            	 	 	 	concentration) is observed.
0011	Stock_19         	:	s	o	Shows neither clear CMD, MED, nor RDP.
0012	NGC_7826         	-	s	o	Skiff: asterism, NKh agrees; no cluster signature
0012	NGC_7            	 	 	 	(even concentration) is seen.
0013	PTB_5            	-	 	 	AH:PTB93_5 at the edge of Cep_OB4; no cluster
0013	PTB_5            	 	 	 	signature (even concentration) is seen.
0014	FSR_0504         	=	 	 	
0015	NGC_7833         	-	s	o	Group of 4 stars K>12 plus a galaxy.
0016	BDB_94           	=	r	c	
0017	Czernik_1        	=	 	 	
0018	SAI_1            	=	 	 	
0019	ASCC_1           	=	 	 	Distance and reddening have been strongly changed
0019	ASCC_            	 	 	 	compared to COCD.
0020	Berkeley_1       	=	 	 	
0021	King_13          	=	 	 	
0022	FSR_0447         	-	 	 	No cluster signature (even concentration) is seen.
0023	Alessi_20        	=	 	 	
0024	FSR_0474         	=	 	 	
0025	FSR_0480         	=	 	 	
