,TOI,source_id,clusters,reference,Cluster,k13_name_match,k13_logt,distance,TIC ID,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,FPP,FPP-2m,FPP-30m
0,580.01,5519619186857962112,"Pozzo_1,nan,Pozzo_1,nan","CantatGaudin_2018,Zari_2018_UMS,CantatGaudin_2018,Zari_2018_UMS",Vel_OB2,Vel_OB2,,349.83160799845234,81419525,,3,4,3,3,2,4,4,5.0,PC,,9.5518,0.006,,1,qlp,08:12:25.99,-46:06:32.9,-5.99,0.084,9.892000000000001,0.076,2458518.381348,0.0023899999999999998,1.54959,0.00027,2.873,0.154,6.998460000000001,0.43701999999999996,6425.089844,6425.089844,,,57385.19921900001,4311.0,32.0,346.494,5.813,8362.900391,439.799988,,,,,,,8,2019-04-01 16:52:01,2019-12-17 15:43:36,2020-01-16 02:34:07,3 GAIA stars within 5,,,
1,581.01,5525188767305211904,"Trumpler_10,nan,Trumpler_10,nan","CantatGaudin_2018,Zari_2018_UMS,CantatGaudin_2018,Zari_2018_UMS",Trumpler_10,Trumpler_10,7.38,439.53565624538095,180987952,,3,4,3,3,2,4,4,5.0,PC,,9.5287,0.006,,1,qlp,08:41:02.75,-41:26:34.06,-11.579,0.071,7.155,0.066,2458518.608032,0.00303,1.38846,0.0003,1.514,0.341,0.6013649999999999,0.001738,553.723999,553.723999,,,10968.5,2851.0,14.0,434.207,7.5125,9761.5,145.600006,4.08,1.27,,,,,8,2019-04-01 16:52:00,2019-12-17 15:43:36,2020-01-16 02:34:07,,,,
2,681.01,5290968085934209152,"NGC_2516,NGC2516,nan,NGC_2516,NGC2516,nan","CantatGaudin_2018,GaiaCollaboration2018_tab1b,Zari_2018_UMS,CantatGaudin_2018,GaiaCollaboration2018_tab1b,Zari_2018_UMS",NGC_2516,NGC_2516,8.475,426.48748756811307,410450228,,1,4,1,3,2,4,4,5.0,PC,,10.6845,0.006,,1,spoc,07:51:34.79,-60:24:44.6,-4.18,0.049,11.242,0.061,2458546.4766849997,0.001273,15.778431,0.001807,3.360643,0.12293599999999999,7.598665,0.340802,6974.195801000001,6974.195801000001,13.082777,4.2398430000000005,564.329651,1243.091064,42.580555,421.349,4.588,7447.0,41.0,3.79,0.17,1.23189,0.304797,-0.122325,0.0513331,9,2019-05-06 19:17:06,2019-12-17 15:43:37,2020-01-16 02:34:07,V-shaped; possible odd/even,,,
3,837.01,5251470948229949568,"IC2602,IC_2602,IC_2602","GaiaCollaboration2018_tab1a,CantatGaudin_2018,Kharchenko2013",IC_2602,IC_2602,8.345,143.07643771907735,460205581,,3,5,5,3,2,4,4,5.0,PC,,9.9322,0.006,,1,spoc,10:28:08.95,-64:30:18.76,-18.017,0.039,11.307,0.037000000000000005,2458599.250488,0.0012619999999999999,8.322728999999999,0.0009570000000000001,1.7757779999999999,0.08703,4.759848000000001,0.45478999999999997,4374.38623,4374.38623,8.24057,1.429682,29.5116,649.0,19.722456,142.488,0.4595,6513.0,199.0,4.53694,0.338064,1.03252,0.13781300000000002,,,11,2019-06-17 17:15:57,2019-12-17 15:43:38,2020-01-16 02:34:07,single transit,0.858,,
4,839.01,5337273743301313536,Loden 306,Dias2014,Loden_306,Loden_306,6.76,1704.358635911153,466840711,,5,5,5,5,5,5,5,5.0,KP,KP,14.1491,0.013999999999999999,,1,spoc,11:07:55.17,-61:08:46.5,-4.522,0.039,2.488,0.034,2458598.899414,0.006000999999999999,2.485338,0.000997,2.945664,0.430199,48.308595000000004,5.992030000000001,43518.527344,43518.527344,32.82655,3.039439,2838.029053,1861.546753,7.770461999999999,1627.63,76.74,6933.0,,4.25089,,1.53,,,,11,2019-06-17 17:15:57,2019-12-17 15:43:39,2020-01-16 02:34:07,OGLE2-TR-L9b,,,
5,893.01,3099242937596214272,NGC 2306,Dias2014,NGC_2306,NGC_2306,9.0,1283.226910132699,123958679,,3,4,3,3,4,4,4,5.0,PC,,11.4847,0.022000000000000002,,1,qlp,06:54:42.86,-07:07:52.74,0.518,0.065,-0.644,0.07400000000000001,2458469.073242,0.009470000000000001,5.59071,0.00463,3.824,0.599,3.723962,0.01679,3424.0200200000004,3424.0200200000004,,,1935.359985,1847.0,9.0,1241.42,70.575,8808.0,254.5,,,,,,,6,2019-03-21 15:42:32,2019-12-17 15:43:36,2020-01-16 02:34:07,,,,
6,1336.01,2058880504233056768,Ruprecht 172,Dias2014,Ruprecht_172,Ruprecht_172,9.065,532.1743831963446,92783821,,3,4,3,3,3,4,4,5.0,PC,,10.2115,0.017,,1,qlp,20:12:04.16,35:31:28.66,-11.969000000000001,0.047,-8.381,0.049,2458685.1862790002,0.00413,3.86283,0.00059,1.232,0.38299999999999995,1.6999970000000002,0.013511000000000002,1564.530029,1564.530029,10.4563,0.9866290000000001,264.130005,1123.0,10.0,524.29,8.182,7167.0,111.5,3.89,0.08,2.4,0.07,,,15,2019-10-17 00:30:12,2019-12-17 15:43:42,2020-01-16 02:34:07,,,,
7,1497.01,2014335027560174976,"RSG_7,nan,RSG_7,nan","CantatGaudin_2018,Zari_2018_UMS,CantatGaudin_2018,Zari_2018_UMS",RSG_7,,,409.90476766050205,371673488,,2,4,2,2,1,4,4,3.0,PC,,9.95717,0.006,,1,qlp,22:52:55.97,59:51:03.42,4.3260000000000005,0.044000000000000004,-2.168,0.043,2458765.480835,0.00557,0.8158,0.00035,2.353,0.35100000000000003,0.39,0.000936,359.139008,359.139008,3.8666699999999996,0.35790700000000003,25234.099609,3511.0,11.0,405.17400000000004,4.5835,7864.600098000001,310.799988,4.26,0.09,1.85,0.15,,,"16,17",2019-12-05 21:41:09,2019-12-17 15:43:31,2020-01-16 02:34:07,Variable star; slight depth-aperture correlation,,,
8,1585.01,430549069612992000,Stock_20,Kharchenko2013,Stock_20,Stock_20,8.337,683.7745003297734,444415148,,3,4,3,3,3,4,4,5.0,PC,,8.9676,0.012,,1,qlp,00:25:14.14,62:32:35.21,-4.209,0.044000000000000004,-3.54,0.04,2458764.874634,0.0042,1.8364099999999999,0.00032,2.222,0.256,0.400039,0.0007469999999999999,368.38198900000003,368.38198900000003,10.7399,0.611317,3690.540039,2171.0,11.0,670.885,14.034,7609.5,140.899994,,,5.09,0.19,,,"17,18",2019-12-19 20:58:21,2019-12-19 20:58:21,2020-01-16 02:34:07,,,,
9,1641.01,337169505562029568,NGC 1039,Dias2014,NGC_1039,NGC_1039,8.383,777.2204147780392,422923265,,3,4,3,3,1,4,4,5.0,PC,,9.616,0.006999999999999999,,1,spoc,02:40:58.94,42:52:16.49,2.1180000000000003,0.25,-6.461,0.23800000000000002,2458791.787231,0.001256,1.864989,0.000181,1.008516,0.211027,1.259566,0.10721099999999999,1159.430054,1159.430054,12.538129,2.9639729999999997,60795.01171900001,4004.8544920000004,8.000886999999999,769.138,112.928,9898.0,151.436005,3.77846,0.14356300000000002,3.39909,0.520522,,,18,2020-01-14 19:46:38,2020-01-14 19:46:38,2020-01-16 02:34:07,Centroid offset; not centered on another star,,,
